,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.total_floors,_source.type_of_accomodation
10,249ccab9-5069-ec83-3b7a-56767aba468f,1400.0,1,24.0,28.509027000000003,77.16609,12.0,0.0,2.0,3.0,1600.0,38000.0,76000.0,2.0,3
11,2817cb08-3bd2-ab40-5095-56827f10052b,3500.0,2,12.0,28.568168,77.269238,12.0,0.0,2.0,3.0,4500.0,125000.0,375000.0,2.0,3
12,2a20cb51-e6ae-4035-46a9-569b5c3b9ae0,1500.0,1,24.0,28.562344,77.363487,12.0,0.0,1.0,4.0,2140.0,25000.0,50000.0,2.0,4
13,34f6e52f-8c50-3fa7-813c-568e011bb307,3200.0,3,24.0,28.544588,77.258957,12.0,0.0,1.0,4.0,4500.0,300000.0,600000.0,3.0,4
14,44fa0493-24b9-c904-64e9-56922c3b0c7b,2200.0,2,24.0,28.556464000000002,77.220147,12.0,0.0,3.0,4.0,3600.0,140000.0,280000.0,2.0,4
15,43214bf4-8b44-6661-3a5a-5652c09cc908,1550.0,2,24.0,28.549626,77.23751899999999,12.0,4500.0,2.0,4.0,1980.0,75000.0,225000.0,3.0,3
16,3fc7f35d-2c63-0562-a081-5682812f83fc,3200.0,3,12.0,28.567767,77.271029,12.0,10000.0,2.0,4.0,4500.0,135000.0,270000.0,3.0,4
17,54334e4b-d8d5-32ca-25f5-56a9b5e6baff,1400.0,2,36.0,28.558791999999997,77.20206,12.0,0.0,1.0,2.0,4500.0,55000.0,110000.0,3.0,2
18,4505ca01-bf61-3425-1d94-567bafbc5f8c,1200.0,3,24.0,28.521659999999997,77.207319,12.0,0.0,1.0,3.0,1350.0,50000.0,100000.0,3.0,3
19,ba68c52c-0b85-9018-762e-5672b3e47e42,1400.0,0,0.0,28.554421,77.244755,0.0,0.0,0.0,3.0,1800.0,75000.0,150000.0,2.0,3
20,bd4f08f0-bb69-fe6a-0fd7-5657068a6f8b,1350.0,2,24.0,28.712681,77.140573,12.0,500.0,2.0,2.0,1500.0,25000.0,50000.0,3.0,3
21,bee34b06-65a1-5330-d59e-56790d98c809,3500.0,2,12.0,28.570134000000003,77.270852,12.0,0.0,2.0,4.0,4500.0,80000.0,160000.0,2.0,4
22,c4ad767c-f21d-2489-f7f2-568bca9ed047,3000.0,1,36.0,28.556395000000002,77.21845,24.0,2000.0,6.0,5.0,7200.0,300000.0,600000.0,3.0,4
23,c594852d-7259-69fe-696c-56530b3177bd,3100.0,1,24.0,28.56233,77.167387,12.0,6000.0,3.0,5.0,5400.0,200000.0,600000.0,2.0,3
24,6f582e0a-d5f2-58a2-8e0b-56891e292b77,1400.0,2,24.0,28.536563,77.24454200000001,12.0,0.0,1.0,2.0,2700.0,40000.0,80000.0,2.0,2
25,70a8c43c-fcba-6483-1078-568cc38258e8,1400.0,0,24.0,28.538818,77.257202,12.0,0.0,0.0,3.0,1800.0,45000.0,90000.0,2.0,3
26,719eec77-9094-1c99-63c3-566bb78a893a,1600.0,0,24.0,28.558042999999998,77.20092199999999,11.0,0.0,0.0,3.0,1800.0,70000.0,210000.0,2.0,3
27,71b73974-47c8-17b6-7769-5697929eac4d,1500.0,0,24.0,28.5718,77.339067,12.0,0.0,0.0,3.0,1800.0,40000.0,80000.0,1.0,3
28,770c8e9c-878e-eccd-f883-56a35c97457f,850.0,3,24.0,28.534288,77.218425,12.0,0.0,1.0,2.0,918.0,50000.0,100000.0,3.0,2
29,7a72e785-cc54-1e4b-d5ea-5685023dc748,2500.0,2,24.0,28.547959999999996,77.237706,12.0,0.0,3.0,3.0,4500.0,80000.0,240000.0,2.0,3
30,97aa4d7a-3e95-cba5-de49-5660480730c5,3000.0,2,24.0,28.565365000000003,77.162666,12.0,0.0,2.0,3.0,5400.0,200000.0,600000.0,3.0,4
31,9c5385ee-1f05-a79c-4634-5669610ca529,1300.0,2,24.0,28.533653,77.245023,12.0,0.0,3.0,2.0,4050.0,50000.0,100000.0,2.0,2
32,9d898835-ebf3-324a-0d21-56826dc9b8b8,1500.0,3,36.0,28.529844,77.24516700000001,12.0,0.0,4.0,3.0,2250.0,70000.0,210000.0,3.0,2
33,5c6d45a3-3a28-2c40-490f-568b8feb0df6,800.0,1,12.0,28.533603999999997,77.24579200000001,12.0,0.0,1.0,1.0,2700.0,27000.0,54000.0,1.0,1
34,5f8f1d39-c5b9-6921-8749-569a039aeaad,1500.0,1,36.0,28.530396999999997,77.246527,12.0,0.0,1.0,2.0,1872.0,55000.0,110000.0,2.0,3
35,60ef02ed-1a9b-1036-67a3-564851287ac4,2400.0,0,24.0,28.544971000000004,77.242295,12.0,0.0,1.0,4.0,450.0,100000.0,200000.0,3.0,4
36,646e23d7-66b1-98de-c9ec-565d4a42cbbc,2200.0,2,24.0,28.562428000000004,77.263435,12.0,2500.0,4.0,4.0,4500.0,110000.0,220000.0,3.0,3
37,8d751880-3244-f9c0-abf5-567a81650e0b,2600.0,2,24.0,28.569339000000003,77.269713,12.0,0.0,5.0,4.0,4500.0,200000.0,400000.0,3.0,4
38,90bd9798-d1b8-57d3-01d7-566d36e12b3a,1400.0,2,12.0,28.620693,77.369969,12.0,2500.0,4.0,2.0,1500.0,25000.0,50000.0,4.0,3
39,934b1bdd-25cc-75f6-0134-56702c80c7e3,9000.0,0,24.0,28.553594,77.203096,12.0,10000.0,2.0,6.0,1000.0,450000.0,900000.0,2.0,4
40,935b8e41-a41f-f4b7-e010-568283891437,1400.0,1,36.0,28.544821999999996,77.25931700000001,12.0,5000.0,2.0,3.0,1800.0,75000.0,225000.0,3.0,3
41,7e3f52cb-5ce5-a436-1617-568a405bf895,2200.0,1,36.0,28.534156,77.24086,24.0,0.0,3.0,3.0,2700.0,85000.0,510000.0,2.0,3
42,7fcf476c-4a73-e936-7e62-568bcb7c88dd,2800.0,1,36.0,28.557501000000002,77.21848100000001,24.0,10000.0,5.0,4.0,7200.0,275000.0,825000.0,3.0,4
43,8626b654-ca56-9349-826d-5661b47642d2,500.0,3,12.0,28.538725,77.257564,12.0,0.0,1.0,1.0,1800.0,17000.0,34000.0,3.0,1
44,87c93626-f007-a210-21f3-5672bbf10597,2100.0,2,24.0,28.545795000000002,77.253428,12.0,0.0,2.0,4.0,2700.0,70000.0,140000.0,3.0,4
45,88936101-690d-b1b9-0c8a-568230610bd7,1306.0,1,36.0,28.550858,77.242301,12.0,3000.0,2.0,2.0,1980.0,35000.0,105000.0,2.0,3
46,b1c51fa5-8ca0-ea08-da3d-568caaad9fff,2800.0,1,36.0,28.555072999999997,77.213358,24.0,0.0,5.0,4.0,4500.0,250000.0,750000.0,3.0,4
