_id,_source/name,_source/covered_area,_source/lease_duration_expected,_source/location/lat,_source/location/lon,_source/lock_in_period,_source/maintenance_charges,_source/no_of_balconies,_source/no_of_barooms,_source/plot_area,_source/rent_expected,_source/security_deposit,_source/type_of_accomodation,_source/total_floors,_source/floor,_source/servant_room,_source/servant_room_wi_toilet
9db38bd4-7b29-27c4-f156-569cc5dae5a2,RG-0000000883,1500,24,28.549052,77.240673,12,0,2,3,1872,70000,140000,3,3,0,1,1
5a3e41ea-aef7-8a29-d1bb-56a3635fd03a,RG-0000000920,1500,24,28.549052,77.240673,12,0,2,3,1872,70000,140000,3,3,3,1,1
2fd8aa14-3602-9e9f-4067-569cec80b49b,RG-0000000885,1500,36,28.550372,77.242024,12,0,2,3,1872,60000,120000,3,3,2,1,1
46c880ef-b4f4-58d0-80f4-569df6a47535,RG-0000000889,4000,36,28.578234,77.171213,12,0,4,4,3600,400000,800000,3,2,0,1,1
19db1a6e-9fb7-0292-625a-5698d709ada1,RG-0000000843,2000,24,28.568141,77.229347,12,20000,1,3,2925,200000,400000,3,3,3,1,1
168d6094-a178-4247-d3dc-566fd80c977c,RG-0000000453,2200,24,28.555746,77.20444,12,12500,2,4,2925,125000,250000,3,2,0,1,1
11cb4e37-d191-c3c2-00af-566024f51e50,RG-0000000243,2400,36,28.567343,77.275246,30,15000,4,5,4950,175000,525000,4,3,3,1,1
12830bed-af5d-edb6-36de-564042037d06,RG-0000000034,2000,24,28.57058,77.23438,18,0,4,3,2925,200000,600000,3,2,1,1,1
14f01920-d62a-3acc-c000-56741b7fbc50,RG-0000000506,3000,24,28.568786,77.275431,12,0,2,4,4500,150000,300000,4,3,2,1,1
160c889f-f50a-1df4-2c96-567a39d6d0ee,RG-0000000578,3000,24,28.56727,77.260747,12,0,2,4,4500,130000,260000,4,3,3,0,0
33f074fb-9411-7c47-1df8-5661a85e3b36,RG-0000000270,2300,24,28.562885,77.158106,12,0,2,3,3960,110000,220000,3,2,2,1,1
318c3546-41d4-8488-b361-568286ac92ea,RG-0000000675,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,3,0,0
28d9ce96-e564-3d84-528a-566fd8b26428,RG-0000000452,1200,12,28.554744,77.204681,12,0,3,1,2880,29000,58000,1,1,1,0,0
3044294e-330b-57ff-1957-5698e5642b74,RG-0000000847,1800,24,28.53317,77.245658,12,5000,2,4,2700,125000,375000,3,3,3,1,1
19cfc097-a14c-a841-8f75-567baffb11eb,RG-0000000599,800,12,28.560371,77.241345,12,0,1,2,900,22000,44000,2,2,2,0,0
36ff3fcb-ba78-521a-4861-5672c8ebe0ff,RG-0000000496,2500,24,28.549512,77.202268,12,3000,1,2,4500,135000,270000,2,3,1,0,0
389aacc9-20f1-306e-7135-568a54153cdf,RG-0000000714,2200,24,28.53531,77.242529,12,5000,4,4,3600,130000,260000,4,2,1,1,1
35ebd15b-5976-0859-cfcb-568f88cb7614,RG-0000000764,1500,36,28.56027,77.219244,12,0,2,3,1953,100000,200000,3,3,0,1,1
375c21db-6d49-f883-82ee-567a8d0520b0,RG-0000000592,1100,12,28.561955,77.248096,12,0,0,3,1260,32000,32000,3,3,1,0,0
49e70cfd-c9bf-c073-8365-565d39d9a971,RG-0000000207,2600,36,28.542581,77.21054,12,8000,3,5,3600,350000,1000000,5,2,0,1,1
3fe7f51b-a302-27e8-e5b3-56597e295d34,RG-0000000188,2100,36,28.567722,77.198672,24,10000,3,3,2700,130000,390000,3,3,1,1,1
4901f798-8898-b790-80bb-567658164772,RG-0000000528,2100,24,28.570737,77.218597,12,0,0,2,2700,40000,80000,2,2,1,0,0
3e63c5c7-2af6-f4ba-931b-567bca28ce5f,RG-0000000606,900,24,28.571598,77.225531,12,0,2,2,1150,37000,74000,2,2,1,0,0
3cf9287e-ae16-f61c-b18d-566f98695312,RG-0000000446,2200,60,28.568876,77.269837,36,1000,3,3,4500,80000,240000,4,2,2,1,1
3eb297db-cea6-760a-107f-566c24181205,RG-0000000408,2048,24,28.577116,77.238279,12,15000,1,4,2997,200000,600000,4,3,0,1,1
4bb80e2b-df85-322c-4e40-566803a70f86,RG-0000000341,2600,24,28.529726,77.203768,6,0,3,4,3600,250000,750000,4,3,1,1,1
4ede221b-0d28-f164-2517-5662f9508d35,RG-0000000284,5600,36,28.53558,77.237595,12,0,6,12,1944,500000,1500000,11,3,0,1,1
4bbf9a48-8c6d-a520-7e01-566aac5fe66f,RG-0000000386,1600,24,28.538397,77.249626,6,0,0,4,2097,75000,150000,4,2,0,0,0
4d458c5c-6699-d0f4-4eb0-5690d698860e,RG-0000000777,1500,24,28.538906,77.24162,12,0,2,3,2700,200000,400000,3,2,2,1,1
6a824396-f9ba-5867-81c7-5682865d5fd7,RG-0000000676,700,12,28.560493,77.241937,12,0,1,2,900,30000,60000,2,3,0,0,0
6f791bec-ac75-ce60-92b5-56545d34bf4b,RG-0000000152,2100,24,28.55424,77.201156,12,0,2,4,2799,150000,300000,4,3,3,1,1
70aaefb5-bbfd-af86-cfa2-566d521d4851,RG-0000000423,1250,24,28.557056,77.246552,12,0,2,2,1800,40000,80000,2,2,2,1,1
746a5c29-8d87-ac9e-de50-567927e8b7cd,RG-0000000566,2100,24,28.570206,77.268898,12,9000,2,4,2700,100000,300000,4,3,3,1,1
7b7b91b6-9b89-032e-6c9c-566440f5a612,RG-0000000313,2100,24,28.568127,77.228088,12,5000,1,3,2925,75000,225000,3,2,1,1,1
58e7996b-a9c7-ddfb-a4ef-566a88ad638f,RG-0000000384,2100,24,28.535468,77.251519,12,0,3,3,2844,95000,190000,4,3,2,1,1
5cbc01ca-05c1-5d2e-893f-567f8ca14ee2,RG-0000000633,2050,36,28.552263,77.230763,24,10000,4,4,3150,125000,375000,4,3,1,1,1
5f70b9c2-8b24-fad7-610f-5677e9442813,RG-0000000551,1400,24,28.531743,77.20693,12,0,0,3,1800,65000,130000,3,3,0,0,0
61310987-ab86-33af-bd5e-56850736b64a,RG-0000000702,600,24,28.548663,77.233268,12,0,2,1,1872,22000,22000,1,2,2,0,0
663691ac-9d6b-5881-b005-56740a5bc535,RG-0000000498,3500,24,28.567769,77.164725,12,15000,2,3,5400,210000,420000,4,2,2,1,1
57a6d7e0-9e5e-1bb8-3ecd-5674112458c6,RG-0000000505,3500,24,28.54387,77.212146,12,4000,0,4,10800,90000,270000,3,2,0,0,0
57dbf9d4-4b4d-75be-a04d-56702a0f5e01,RG-0000000464,600,24,28.554269,77.201653,12,0,2,1,2808,45000,90000,1,2,2,0,0
54866318-5474-8f2e-a01f-566ec00f3494,RG-0000000443,1900,24,28.572453,77.233435,12,0,1,2,2925,75000,150000,3,2,1,0,0
546970fc-6d1e-ee15-64ef-56680640fd3a,RG-0000000342,2300,24,28.567185,77.268717,12,10000,2,3,4500,80000,240000,3,1,1,1,1
4fd3143c-01c1-96cc-ab65-568921a4d523,RG-0000000709,400,12,28.520343,77.20978,12,0,1,1,1125,22000,44000,1,2,1,0,0
7dabc71a-fcd5-4a98-efa0-567bb1a4a0df,RG-0000000603,1400,24,28.522019,77.205188,12,0,2,3,1800,35000,105000,3,3,2,1,1
7f0bf1ff-9e5d-50d5-5049-56828679ff60,RG-0000000674,1100,12,28.562288,77.248702,12,0,0,2,1200,32000,32000,2,3,3,0,0
7f89535c-cd2d-5736-0e44-56643f6e661c,RG-0000000311,3300,24,28.566638,77.21889,12,8000,4,5,4500,200000,400000,4,2,1,1,1
84039d42-42e2-f042-b8bc-5652c51a84d2,RG-0000000143,200,24,28.547819,77.240175,12,0,2,4,2700,85000,170000,4,2,0,1,1
86f8401d-a422-9f5c-2523-566eb106423e,RG-0000000438,875,24,28.558334,77.253601,12,0,2,2,1125,35000,70000,3,3,1,0,0
8a5c712a-7d63-145f-d4a8-56711d74fa0a,RG-0000000468,5000,24,28.558773,77.202821,12,20000,7,6,6480,300000,600000,5,3,2,1,1
c5c90114-6d0d-af6c-7de4-567fa8a9868f,RG-0000000636,1600,24,28.549214,77.239359,12,0,2,3,2700,120000,240000,3,3,3,1,1
c7c72bfc-085f-9ff0-bde4-56765f7828b2,RG-0000000530,1600,12,28.572781,77.219054,12,0,0,2,1800,35000,70000,2,2,0,1,1
c8683a72-bef9-0843-1d12-5660121cc89f,RG-0000000240,2300,24,28.571759,77.231139,12,0,3,3,3375,150000,450000,3,2,1,1,1
c8c5c3ab-3794-6ddc-3b35-5659811234f8,RG-0000000189,2250,24,28.564769,77.193834,12,0,4,4,4500,100000,300000,3,1,1,1,1
c91cd53c-e39c-e359-43cc-5672b8008892,RG-0000000488,1400,24,28.581247,77.244423,12,0,2,2,1800,55000,110000,3,2,2,0,0
c93c0b49-d950-321f-6cb4-5691f50adfb6,RG-0000000786,2200,24,28.556464,77.220147,12,0,3,4,3600,160000,320000,4,2,1,1,1
c9df55ad-4215-bc2a-0fb8-567182f4ddb8,RG-0000000480,2900,36,28.549619,77.205863,12,1000,1,3,4680,100000,200000,3,1,1,1,1
c9f75ac8-05f2-8852-4ef8-567a823bae43,RG-0000000588,1600,24,28.521276,77.207816,12,0,2,2,1800,55000,110000,3,2,2,0,0
a649b00c-40a9-8866-e87e-5666dbd6ed29,RG-0000000328,1700,24,28.594121,77.036643,12,40000,4,5,2300,35000,70000,4,10,8,0,0
aea274d6-aafa-a023-27c8-565c35743c79,RG-0000000205,5000,12,28.552405,77.20764,6,8000,4,6,9000,500000,1500000,5,3,3,1,1
b46d71b0-2868-5956-549c-5685031225a7,RG-0000000695,1500,24,28.538555,77.242254,12,0,4,3,2250,55000,110000,3,3,2,1,1
b4959d85-d150-e904-72ef-566811c40889,RG-0000000347,3000,24,28.563701,77.269008,12,10000,0,4,4500,130000,390000,3,1,0,1,1
b5280a8c-3241-b475-4ab4-5672ba946580,RG-0000000490,500,24,28.542709,77.251314,12,0,1,1,900,20000,40000,1,3,2,0,0
95febe15-8246-e489-b2cf-56a0ac73b8c3,RG-0000000910,7500,24,28.503322,77.100569,12,40000,4,6,8100,350000,1000000,5,12,10,1,1
98889557-180a-17ce-8182-565ea9bb9f82,RG-0000000220,1500,24,28.580139,77.166196,12,2000,2,3,2385,60000,120000,3,2,2,0,0
9b2339d5-718b-5bb6-86fb-5682848d654a,RG-0000000672,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000,3,3,2,1,1
9e42eccb-f2da-f280-fbe6-565da865eed6,RG-0000000218,1200,24,28.64457,77.382119,12,1000,2,2,1400,15000,30000,3,20,20,0,0
a2114f8f-2198-6e12-2222-564ebcc87dec,RG-0000000116,2800,24,28.547254,77.197463,12,6000,4,4,4500,200000,1000000,4,2,2,1,1
d2983089-2b0a-d77e-7b77-567697d0e06c,RG-0000000538,1400,24,28.564714,77.219023,12,0,3,3,1917,70000,140000,3,3,3,1,1
d2a3b430-d631-778c-0a13-567a837f6c36,RG-0000000590,700,12,28.561289,77.241024,12,0,1,2,900,30000,60000,2,2,2,0,0
d37096ca-df59-6d95-2295-56584df396fa,RG-0000000187,2400,36,28.574499,77.229754,30,15000,4,5,4950,175000,525000,4,3,0,1,1
d3f703e8-96ed-1a56-5889-567ba2c549fa,RG-0000000594,2100,12,28.57056,77.270961,12,10000,2,4,2700,100000,200000,4,3,2,1,1
d5a8906f-4f69-a035-fab3-56a35cd8bdf5,RG-0000000916,850,24,28.534288,77.218425,12,0,1,2,918,50000,100000,2,3,0,1,1
8e552bd0-4a91-4e44-dcff-56754b50878d,RG-0000000525,2550,36,28.541643,77.211599,24,7000,5,5,4500,250000,750000,4,3,3,1,1
8e55fb3c-fd68-3b80-cd3c-568baa3fba7c,RG-0000000723,4000,24,28.533406,77.238971,12,0,5,3,4500,80000,160000,3,3,0,1,1
9040647b-eded-177f-9eb0-56850362aa1c,RG-0000000696,1500,36,28.546918,77.23635,24,5000,2,3,1872,100000,200000,3,3,2,1,1
904ecbd1-c77b-0f02-8575-5672c606122b,RG-0000000494,2500,24,28.561434,77.267102,12,15000,3,4,4500,125000,250000,4,3,3,1,1
92208169-1858-f840-ffc3-567a839969c5,RG-0000000589,450,12,28.570143,77.242021,12,0,1,1,900,14000,28000,1,3,3,0,0
e7c14464-9906-12de-28da-565bdd3d3450,RG-0000000200,3100,24,28.563942,77.166585,12,5000,2,4,5400,130000,260000,4,2,1,1,1
e9b96c3b-3f35-5e8a-7395-56740b9ca3e9,RG-0000000499,1500,24,28.557716,77.253003,12,6000,2,1,2700,50000,100000,2,3,3,1,1
ea349a1f-d6aa-7136-921e-567ce5b80e32,RG-0000000611,2000,36,28.520872,77.214881,11,2000,1,4,2700,100000,300000,3,3,1,1,1
f18b1176-9135-a00c-5473-5677e5b344f7,RG-0000000547,2100,12,28.570488,77.273564,12,5000,1,3,2700,50000,100000,3,3,3,1,1
db15d05c-f2d0-34ee-d9aa-569b7369381e,RG-0000000871,1400,24,28.5156,77.230423,12,0,1,3,1600,70000,140000,3,2,1,0,0
dfa0d122-b5f1-cdd8-4dd0-56643e57223b,RG-0000000309,1500,24,28.577828,77.231378,12,0,2,2,2538,100000,300000,2,2,1,0,0
e2004743-dba2-64a2-7468-5658125c0567,RG-0000000180,3000,24,28.553517,77.208248,12,7000,3,5,4770,140000,420000,5,2,2,1,1
e514613e-1970-16c0-c185-567bb0db5f8e,RG-0000000601,1000,24,28.533263,77.209122,12,0,1,2,1125,25000,50000,2,3,2,0,0
b54c07f5-bf04-911f-82d4-5662fffd645c,RG-0000000287,1500,12,28.544115,77.254118,12,0,0,3,2250,65000,130000,3,2,2,0,0
b65d0546-8a45-1334-06d8-56a35cf6352f,RG-0000000917,850,24,28.534288,77.218425,12,0,1,2,918,50000,100000,2,3,1,1,1
b1d69ce5-3b13-9766-26dd-56976479a085,RG-0000000835,1500,24,28.577342,77.230254,12,2500,2,3,1950,85000,225000,3,3,3,1,1
20a774f3-1df3-698d-1ba3-5678ec3f75a6,RG-0000000555,1350,24,28.564175,77.196636,12,0,2,3,1890,90000,180000,3,3,2,1,1
a5d0a6d4-baf5-f016-d75d-569a0148328a,RG-0000000858,1800,36,28.548575,77.243509,12,0,2,3,2700,60000,120000,3,2,2,1,1
8fdb870b-7420-d85c-500b-569a2dda3045,RG-0000000862,2000,36,28.572604,77.228548,12,15000,1,3,2925,150000,450000,3,3,3,1,1
bf06404d-8531-f3a7-a5ec-569a30c4ea79,RG-0000000863,2000,36,28.57238,77.22909,12,0,1,3,2925,120000,240000,3,3,2,1,1
1f5e0c28-c275-918e-c244-56a220190d99,RG-0000000915,2000,36,28.556716,77.233832,12,10000,2,4,2700,80000,160000,4,3,3,1,1
ff300751-2f01-f7c6-a767-566a762f3bd5,RG-0000000380,1600,24,28.538537,77.251015,12,0,2,3,2100,50000,100000,3,2,2,0,0
2391c31e-dd70-aac6-37e3-5694e6bba14b,RG-0000000814,2000,24,28.58109,77.164552,12,15000,2,5,2700,165000,330000,4,3,0,1,1
63a5073d-9844-4158-855d-5690aefdf7e3,RG-0000000775,1400,36,28.566291,77.238558,12,0,4,3,3600,40000,80000,3,2,2,0,0
25b65400-0514-fcb9-cc29-5698f17e8770,RG-0000000852,1500,24,28.578522,77.163983,12,10000,5,4,3375,125000,250000,3,3,2,1,1
b53c2327-fad9-ee7e-ef4b-5666e07eaba7,RG-0000000330,1800,24,28.544175,77.244003,12,0,2,3,2445,75000,225000,3,2,2,1,1
6f6c5718-9828-90f6-19b4-569cefa11624,RG-0000000886,2250,36,28.544159,77.250386,12,15000,3,4,2880,250000,500000,4,3,3,1,1
d4837477-b726-ed80-47f3-569e0a6ed21c,RG-0000000892,1000,11,28.534106,77.250226,0,0,2,3,1440,35000,70000,2,3,0,0,0
58bbd226-422b-e510-23bb-569f458a15a8,RG-0000000901,450,24,28.535796,77.23913,12,0,1,1,2250,11000,11000,1,2,1,0,0
794c274a-0044-32e8-23dd-56a4b5dfc17e,RG-0000000926,1600,24,28.542898,77.229721,12,0,2,3,2475,100000,300000,3,2,2,1,1
7fecfeb3-5244-ed8d-5cdd-56a4b8d55a61,RG-0000000928,1400,24,28.544244,77.228426,12,0,1,1,2340,45000,90000,2,2,1,0,0
80744ec4-079c-5855-b043-5639ef972233,Rajeev behl,5000,24,28.501527,77.099594,12,35000,3,5,6750,250000,500000,4,11,2,1,1
1bb99da3-2262-b9b2-a6c9-56717f43b8c8,RG-0000000475,2000,24,28.549689,77.197507,12,5000,3,4,2700,140000,420000,4,3,1,1,1
24a00a81-3266-2bae-0497-567698542d86,RG-0000000539,2800,24,28.565893,77.219646,12,0,3,4,4320,130000,390000,4,3,3,1,1
10520a4f-0d87-6bdd-fb26-56408e892f2e,RG-0000000042,1400,24,28.549929,77.242281,12,10000,4,3,1872,90000,270000,3,3,2,1,1
1ab7f407-2e96-0d2e-4e86-5677e8af672a,RG-0000000550,1500,24,28.508899,77.19669,12,0,0,3,1800,32000,32000,3,3,0,0,0
29488385-db38-47f1-d06e-568e03d96905,RG-0000000748,1600,24,28.629714,77.216029,12,0,2,3,2000,210000,630000,3,3,2,0,0
3b01f8c7-36a8-8231-433c-56409af53891,RG-0000000045,2100,24,28.53475,77.24144,12,4000,3,4,3600,160000,480000,4,3,1,1,1
24bc59f3-fcd5-4803-2d8a-5662fd4486fa,RG-0000000285,1600,12,28.543241,77.252514,12,0,2,3,900,35000,70000,3,2,0,0,0
35846720-ddb0-b141-1680-5645f930bfe5,RG-0000000070,2100,36,28.558398,77.253553,12,9000,4,4,2700,90000,270000,4,3,0,1,1
452ef3e2-75a4-1a77-31c4-5667c7cb1aad,RG-0000000333,2100,24,28.482197,77.078571,24,5000,4,5,2600,110000,440000,3,12,0,1,1
