,pid,name,covered_area,lease_duration_expected,lat,lon,lock_in_period,maintenance_charges,no_of_balconies,no_of_barooms,plot_area,rent_expected,security_deposit,type_of_accomodation,total_floors,floor,servant_room,servant_room_wi_toilet
139,546970fc-6d1e-ee15-64ef-56680640fd3a,RG-0000000342,2300,24,28.567185,77.268717,12,10000,2,3,4500,80000,240000,3,1,1,1,1
144,84039d42-42e2-f042-b8bc-5652c51a84d2,RG-0000000143,200,24,28.547819,77.240175,12,0,2,4,2700,85000,170000,4,2,0,1,1
153,c9df55ad-4215-bc2a-0fb8-567182f4ddb8,RG-0000000480,2900,36,28.549619,77.205863,12,1000,1,3,4680,100000,200000,3,1,1,1,1
162,9b2339d5-718b-5bb6-86fb-5682848d654a,RG-0000000672,1400,36,28.544822,77.259317,12,5000,2,3,1800,75000,225000,3,3,2,1,1
168,d3f703e8-96ed-1a56-5889-567ba2c549fa,RG-0000000594,2100,12,28.57056,77.270961,12,10000,2,4,2700,100000,200000,4,3,2,1,1
172,9040647b-eded-177f-9eb0-56850362aa1c,RG-0000000696,1500,36,28.546918,77.23635,24,5000,2,3,1872,100000,200000,3,3,2,1,1
185,b1d69ce5-3b13-9766-26dd-56976479a085,RG-0000000835,1500,24,28.577342,77.230254,12,2500,2,3,1950,85000,225000,3,3,3,1,1
186,20a774f3-1df3-698d-1ba3-5678ec3f75a6,RG-0000000555,1350,24,28.564175,77.196636,12,0,2,3,1890,90000,180000,3,3,2,1,1
195,b53c2327-fad9-ee7e-ef4b-5666e07eaba7,RG-0000000330,1800,24,28.544175,77.244003,12,0,2,3,2445,75000,225000,3,2,2,1,1
217,47130d4a-ed53-2426-34b3-568ba86b93e3,RG-0000000721,1800,24,28.533392,77.245969,12,0,2,4,2925,60000,180000,3,2,1,0,0
219,572ee796-c85a-ca66-7ae1-566f9926b455,RG-0000000447,1300,36,28.565032,77.267441,24,6000,3,2,4500,90000,180000,2,2,2,1,1
221,575ac88c-cbbf-9fcb-c087-56790eba32cc,RG-0000000562,3200,12,28.567496,77.270602,12,0,0,3,4500,100000,200000,3,2,0,1,1
226,5cef9482-b1c8-60b0-18a6-56458dffd7af,RG-0000000067,1800,24,28.545413,77.227868,12,2000,2,3,2340,75000,225000,3,2,1,1,1
231,64cea6d4-f4cd-9c7b-77f9-5649d5cbcd73,RG-0000000087,1900,24,77.227868,77.19778,12,0,2,4,2700,80000,240000,4,2,1,0,0
232,65e30de7-7de5-748d-c4a3-568e3c00ca25,RG-0000000757,1800,36,28.530244,77.202149,12,0,2,3,3285,85000,170000,3,2,1,1,1
251,c2a7afd2-0a64-057d-7ac0-56741c6bed69,RG-0000000509,2050,36,28.575505,77.236058,24,0,4,3,2925,100000,200000,3,2,1,1,1
252,c3c86b24-e3c5-c08c-8d01-567918b415bd,RG-0000000564,2050,24,28.522558,77.203525,12,0,4,4,3150,65000,195000,3,2,1,1,1
264,7c670c6c-5903-d1e4-3cc4-564dbc207d4b,RG-0000000110,1850,24,28.580491,77.165552,12,0,0,3,2520,100000,200000,3,2,0,1,1
269,eab1f923-8325-cd6e-5fbe-5690f02ee681,RG-0000000783,1800,36,28.532649,77.201761,12,0,1,3,2835,100000,200000,3,2,0,1,1
274,f3801542-565f-88f5-c429-568cedf04985,RG-0000000736,2000,36,28.557311,77.235297,24,0,2,4,2925,75000,225000,4,2,2,1,1
278,dceb7197-176c-d0ff-473d-565d90ee4504,RG-0000000217,2600,36,28.568425,77.267365,24,2000,1,3,5130,60000,180000,3,1,1,1,1
282,d610f947-fa6e-9534-9fa9-56681c606372,RG-0000000352,3300,24,28.561843,77.264594,12,0,4,4,4500,80000,240000,4,2,2,1,1
285,d81f63e7-f7c3-6883-9722-566411e31421,RG-0000000303,2250,36,28.560043,77.336841,11,10000,2,5,3165,70000,210000,4,9,1,1,1
287,d9378f97-8575-fcb8-b864-566522c1c980,RG-0000000316,2300,24,28.524728,77.21414,12,7000,3,4,3150,100000,200000,4,3,1,1,1
289,c9a75798-a997-21f1-e4a0-567a3bd5641d,RG-0000000580,1600,36,28.584643,77.241494,11,5200,2,3,1800,100000,200000,3,3,2,1,1
295,d2492e0a-1786-39b0-d0eb-5688fa1668ec,RG-0000000706,1600,36,28.564759,77.195531,12,0,3,3,2340,95000,190000,3,3,1,1,1
301,1a5b9e3a-8d85-4dc6-1d6f-5692519d7b2d,RG-0000000795,1800,24,28.580677,77.165686,12,0,3,3,2339,100000,200000,3,2,1,1,1
