,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.servant_room,_source.servant_room_with_toilet,_source.total_floors,_source.type_of_accomodation
164,7287d3f2-5cd9-bc9b-fa60-564c2b3a07db,150,3,24,28.567792,77.224886,24,3000,3,3,1944,75000,150000.0,0,0,3.0,3
165,11cb4e37-d191-c3c2-00af-566024f51e50,2400,3,36,28.567343,77.275246,30,15000,4,5,4950,175000,525000.0,1,1,3.0,4
166,14f01920-d62a-3acc-c000-56741b7fbc50,3000,2,24,28.568786,77.275431,12,0,2,4,4500,150000,300000.0,1,1,3.0,4
167,318c3546-41d4-8488-b361-568286ac92ea,1100,3,12,28.562288,77.248702,12,0,0,2,1200,32000,32000.0,0,0,3.0,2
168,3044294e-330b-57ff-1957-5698e5642b74,1800,3,24,28.53317,77.245658,12,5000,2,4,2700,125000,375000.0,1,1,3.0,3
169,19cfc097-a14c-a841-8f75-567baffb11eb,800,2,12,28.560371,77.241345,12,0,1,2,900,22000,44000.0,0,0,2.0,2
170,389aacc9-20f1-306e-7135-568a54153cdf,2200,1,24,28.53531,77.242529,12,5000,4,4,3600,130000,260000.0,1,1,2.0,4
171,35ebd15b-5976-0859-cfcb-568f88cb7614,1500,0,36,28.56027,77.219244,12,0,2,3,1953,100000,200000.0,1,1,3.0,3
172,375c21db-6d49-f883-82ee-567a8d0520b0,1100,1,12,28.561955,77.248096,12,0,0,3,1260,32000,32000.0,0,0,3.0,3
173,49e70cfd-c9bf-c073-8365-565d39d9a971,2600,0,36,28.542581,77.21054,12,8000,3,5,3600,350000,1000000.0,1,1,2.0,5
174,4901f798-8898-b790-80bb-567658164772,2100,1,24,28.570737,77.218597,12,0,0,2,2700,40000,80000.0,0,0,2.0,2
175,3e63c5c7-2af6-f4ba-931b-567bca28ce5f,900,1,24,28.571598,77.225531,12,0,2,2,1150,37000,74000.0,0,0,2.0,2
176,4bbf9a48-8c6d-a520-7e01-566aac5fe66f,1600,0,24,28.538397,77.249626,6,0,0,4,2097,75000,150000.0,0,0,2.0,4
177,4d458c5c-6699-d0f4-4eb0-5690d698860e,1500,2,24,28.538906,77.24162,12,0,2,3,2700,200000,400000.0,1,1,2.0,3
178,6a824396-f9ba-5867-81c7-5682865d5fd7,700,0,12,28.560493,77.241937,12,0,1,2,900,30000,60000.0,0,0,3.0,2
179,746a5c29-8d87-ac9e-de50-567927e8b7cd,2100,3,24,28.570206,77.268898,12,9000,2,4,2700,100000,300000.0,1,1,3.0,4
180,5cbc01ca-05c1-5d2e-893f-567f8ca14ee2,2050,1,36,28.552263,77.230763,24,10000,4,4,3150,125000,375000.0,1,1,3.0,4
181,61310987-ab86-33af-bd5e-56850736b64a,600,2,24,28.548663,77.233268,12,0,2,1,1872,22000,22000.0,0,0,2.0,1
182,663691ac-9d6b-5881-b005-56740a5bc535,3500,2,24,28.567769,77.164725,12,15000,2,3,5400,210000,420000.0,1,1,2.0,4
183,57dbf9d4-4b4d-75be-a04d-56702a0f5e01,600,2,24,28.554269,77.201653,12,0,2,1,2808,45000,90000.0,0,0,2.0,1
184,4fd3143c-01c1-96cc-ab65-568921a4d523,400,1,12,28.520343,77.20978,12,0,1,1,1125,22000,44000.0,0,0,2.0,1
